,x
1,Mono/DC
2,B
3,Mono/DC
4,Mono/DC
5,Mono/DC
6,Mono/DC
7,Mono/DC
8,Mono/DC
9,Progenitor
10,Mono/DC
11,Mono/DC
12,Mono/DC
13,Mono/DC
14,Mono/DC
15,Mono/DC
16,Mono/DC
17,Mono/DC
18,T
19,Progenitor
20,Mono/DC
21,B
22,NK
23,T
24,Mono/DC
25,Mono/DC
26,Mono/DC
27,Mono/DC
28,Mono/DC
29,Mono/DC
30,NK
31,Mono/DC
32,Mono/DC
33,Mono/DC
34,Mono/DC
35,Mono/DC
36,Mono/DC
37,Mono/DC
38,Mono/DC
39,Mono/DC
40,Mono/DC
41,Mono/DC
42,Mono/DC
43,Mono/DC
44,Mono/DC
45,Mono/DC
46,Progenitor
47,Mono/DC
48,Mono/DC
49,Mono/DC
50,Mono/DC
51,Mono/DC
52,Mono/DC
53,Mono/DC
54,Mono/DC
55,Mono/DC
56,NK
57,T
58,Mono/DC
59,Mono/DC
60,Mono/DC
61,Mono/DC
62,Mono/DC
63,Mono/DC
64,Mono/DC
65,Mono/DC
66,Mono/DC
67,Mono/DC
68,Mono/DC
69,Mono/DC
70,Mono/DC
71,Mono/DC
72,Progenitor
73,Mono/DC
74,Progenitor
75,Mono/DC
76,Mono/DC
77,Mono/DC
78,Progenitor
79,Mono/DC
80,NK
81,Mono/DC
82,Mono/DC
83,Mono/DC
84,NK
85,Mono/DC
86,Mono/DC
87,Mono/DC
88,Mono/DC
89,Mono/DC
90,Progenitor
91,Mono/DC
92,Mono/DC
93,Progenitor
94,Mono/DC
95,Mono/DC
96,Mono/DC
97,Mono/DC
98,Mono/DC
99,Mono/DC
100,Mono/DC
101,Mono/DC
102,T
103,T
104,Progenitor
105,Mono/DC
106,Mono/DC
107,T
108,Mono/DC
109,Mono/DC
110,Mono/DC
111,Progenitor
112,Mono/DC
113,Mono/DC
114,Mono/DC
115,T
116,B
117,T
118,Mono/DC
119,Mono/DC
120,Mono/DC
121,Progenitor
122,Progenitor
123,Mono/DC
124,Mono/DC
125,Mono/DC
126,Mono/DC
127,NK
128,Mono/DC
129,Mono/DC
130,Mono/DC
131,Progenitor
132,Mono/DC
133,Mono/DC
134,Mono/DC
135,Mono/DC
136,Mono/DC
137,Progenitor
138,Mono/DC
139,Mono/DC
140,Mono/DC
141,Mono/DC
142,Mono/DC
143,Progenitor
144,Mono/DC
145,B
146,T
147,Mono/DC
148,Mono/DC
149,Mono/DC
150,Mono/DC
151,Mono/DC
152,Mono/DC
153,Mono/DC
154,Mono/DC
155,T
156,Mono/DC
157,Mono/DC
158,Mono/DC
159,Mono/DC
160,Mono/DC
161,Mono/DC
162,Progenitor
163,Mono/DC
164,T
165,Mono/DC
166,Mono/DC
167,Mono/DC
168,Mono/DC
169,Mono/DC
170,Mono/DC
171,Mono/DC
172,T
173,Mono/DC
174,Mono/DC
175,Mono/DC
176,Mono/DC
177,Mono/DC
178,Mono/DC
179,T
180,Mono/DC
181,Mono/DC
182,Mono/DC
183,Mono/DC
184,Progenitor
185,Mono/DC
186,Mono/DC
187,Mono/DC
188,B
189,T
190,Mono/DC
191,Mono/DC
192,Mono/DC
193,Mono/DC
194,Mono/DC
195,Mono/DC
196,Mono/DC
197,Mono/DC
198,Mono/DC
199,Mono/DC
200,Mono/DC
201,Progenitor
202,Mono/DC
203,Mono/DC
204,T
205,Mono/DC
206,Progenitor
207,Mono/DC
208,Mono/DC
209,Mono/DC
210,B
211,Mono/DC
212,Mono/DC
213,Mono/DC
214,Mono/DC
215,Mono/DC
216,Mono/DC
217,Mono/DC
218,Mono/DC
219,Mono/DC
220,Mono/DC
221,Mono/DC
222,T
223,T
224,Mono/DC
225,Mono/DC
226,Mono/DC
227,Mono/DC
228,Mono/DC
229,Mono/DC
230,Mono/DC
231,Mono/DC
232,Mono/DC
233,Progenitor
234,Mono/DC
235,Mono/DC
236,Mono/DC
237,Mono/DC
238,Mono/DC
239,Mono/DC
240,Mono/DC
241,Mono/DC
242,Mono/DC
243,Mono/DC
244,Mono/DC
245,Mono/DC
246,Mono/DC
247,Mono/DC
248,Mono/DC
249,Progenitor
250,T
251,Mono/DC
252,Progenitor
253,Mono/DC
254,Mono/DC
255,Mono/DC
256,Mono/DC
257,Progenitor
258,T
259,Mono/DC
260,B
261,B
262,Mono/DC
263,Mono/DC
264,Mono/DC
