,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311
0,2981,265,9516,2555,9846,3732,861,2350,9094,6594,3087,5755,2228,493,1641,1967,3932,2069,1486,8738,595,2552,2583,3175,4774,4849,5663,7167,5871,7127,575,8111,6898,9549,1933,8502,6014,5657,5463,3027,814,3244,8623,4512,1206,2711,4566,6267,2470,6074,1292,23,9057,9742,5381,9374,7895,7260,1387,7861,2861,3245,3227,3406,3462,7990,232,2358,2461,6136,8936,1178,674,3042,3340,3632,4553,7262,7141,6890,5842,9157,8718,4573,2071,1331,2109,7307,9554,7044,3015,6899,24,7519,85,7122,2758,4470,4411,5289,9782,8085,5917,7626,6015,8698,7335,3680,286,9430,9417,9099,6590,7228,9054,1252,7779,1526,4731,2241,7520,564,9105,6769,7085,2615,630,9396,4422,5452,5590,2803,1626,8978,2254,8512,3179,3301,2881,7154,4442,6960,9813,5592,6936,812,9496,5644,2362,3677,8570,2214,7938,3224,8068,8171,4769,5580,2778,214,690,3936,6028,1817,4390,8680,7446,8136,2682,8583,4229,2346,4683,470,1041,8448,4350,516,3346,2327,8677,2774,5911,467,4062,8868,2413,4799,7442,2406,1602,6225,6727,4853,13,5386,9542,4574,5850,8352,4182,3828,4288,9521,6329,6682,4077,9910,8594,4651,427,2081,3417,9082,3530,6208,7010,1060,6958,0,1369,539,1045,6781,9722,1011,9247,4084,2771,3484,7536,4547,8579,6650,566,3464,2168,8651,1708,8437,6399,8476,8027,555,7370,6789,9747,3820,1815,1301,8261,8852,4869,6584,9844,1579,9457,795,5491,3834,3678,9599,4454,4921,4700,9093,9585,1705,9109,385,9574,6167,9899,4056,4472,5531,5090,443,4458,1445,590,7901,6611,5182,373,9853,5479,3753,6710,3449,5783,2530,9776,2256,5340,2780,5961,1298,5943,706,8367,3769,1204,3376,6422,6109,8216,9382,1813,3472,8667,4646
1,8712,7481,1230,662,1278,3662,8298,7685,9269,2623,4627,2231,8191,5631,3326,7061,9769,1792,487,6195,1315,4843,2583,9020,5546,3708,370,3196,9765,1756,9576,1286,6416,8645,8812,341,3886,3879,5463,2004,8362,7075,2028,3874,9271,4877,8328,8311,4118,8358,4412,5130,5805,2297,3817,4882,5297,2561,9355,2855,9217,2325,4679,8188,351,76,3363,426,2461,9455,5794,1670,8589,3935,5065,889,5121,6596,2125,440,6920,3989,2574,1988,9435,3120,5986,6911,9920,5113,1854,2229,3844,8263,9939,1705,5956,3064,5336,9856,5384,7365,2298,307,856,4055,4008,6153,7192,6763,9417,9099,9437,5409,7598,4177,8905,9574,9728,2547,3401,7744,5359,418,9410,2633,8230,8075,2363,6382,7951,6254,571,5523,6316,3161,1326,6313,2729,1700,5004,3218,2201,6660,3039,5534,5638,3280,6023,4285,9388,5471,4191,4988,7321,8900,3564,8481,5039,5765,2960,8059,9786,3293,4390,4956,3536,2332,7083,8650,3607,6940,1727,3254,1101,2635,3433,9829,1659,4756,6224,4863,6606,167,5204,6192,1436,6045,4677,6994,8193,2303,548,155,8199,5786,5675,5846,5350,3221,7887,2151,4288,8856,6975,7880,5270,1762,7019,1613,7993,1318,6611,5458,5420,4828,3493,1915,4168,3415,7005,537,6151,1864,9722,6410,3266,7117,9637,5901,1512,3337,8646,410,4133,5296,4957,6598,3850,9078,6128,3362,7783,254,9673,1322,7835,5134,1815,2448,463,4059,707,1010,4876,5652,8165,3469,7229,7127,8143,8638,2124,9477,5408,2015,724,4049,3670,37,5499,6645,8724,413,1262,3634,5841,6459,4962,1220,6396,6530,7894,6255,5338,8292,2924,997,377,9255,5559,7851,9498,6142,3665,3372,2439,1820,1698,8279,6586,8156,7521,3610,8908,1080,8010,8382,7600,9572,1459,4035
2,9280,9656,8493,112,5391,4295,2854,3553,5388,2617,2020,2883,5948,757,7505,3128,4727,7700,4107,6465,5748,1482,7591,1492,6852,1379,570,7681,1253,1056,1905,84,7823,7955,9183,9329,9137,4031,1774,1719,7601,6501,6742,7109,6795,3147,4892,6034,5635,8287,1292,5001,6701,14,6793,9583,2806,1188,1560,3521,5234,2311,8108,7028,494,9162,3154,7078,7960,1676,5882,7846,3494,3782,8911,4575,4553,1696,5456,5189,4436,8658,9019,758,8829,2184,4734,6716,9391,7618,7512,5745,9175,4525,4569,8110,3861,279,5336,940,4999,3278,355,6524,5146,2127,8533,4113,1067,577,1909,9958,9553,1276,9986,3229,4519,1194,2539,2241,4883,6495,9297,4037,1302,1557,5820,4444,7351,4221,8779,2892,4234,9529,220,2699,8546,536,7106,5085,2891,8393,4900,6116,9167,408,8676,3263,5433,8273,4378,2191,4191,8844,4122,3700,8154,7829,5127,1846,4657,1877,6568,6831,658,320,3357,2094,9056,9431,7701,6069,1069,3254,3349,7288,1836,6766,1659,6893,1233,1882,8284,5255,8189,880,499,1757,7981,948,4579,7917,2993,2153,3683,8152,1606,2129,7655,5682,5593,436,3566,5252,769,5315,9438,8511,465,1689,622,7377,1346,260,3425,9009,1944,9328,6131,1431,9375,8409,8668,2888,6325,188,3266,9564,2385,1267,2872,1808,3448,410,5802,7927,4957,8178,3418,1237,6579,2496,3050,9552,7370,4773,2367,6375,5587,7065,5509,9207,525,6834,6665,7445,2968,3110,7175,7530,1933,766,6294,9217,1594,647,2643,3641,2775,4796,6272,3117,4860,6897,3039,7989,41,6717,8677,5076,1454,2843,3605,9369,9351,304,625,4807,3572,4736,2244,6838,3748,8920,5098,5066,3265,4599,4505,4160,6680,4255,2469,8943,4919,7013,4952,2086,3146,4455,9397,5608
3,9886,6981,8366,2945,3475,8897,8625,7685,9890,2623,72,3212,9113,6651,9799,2779,9587,1523,2165,4837,1921,2504,4510,2493,4714,3203,5169,7235,7197,4975,6885,4376,6436,1261,3631,4451,8143,3920,965,4254,6712,8305,1435,3437,1824,273,462,3138,6099,8225,1281,3283,2466,2826,6838,5859,261,8319,9042,2604,9217,7503,5300,8077,6066,107,2977,3534,2461,5406,979,7846,5713,3736,3219,2793,7915,136,2125,9070,5232,4652,2574,6921,1104,8737,5557,5103,4952,572,4283,6405,9971,9195,7870,1640,7952,3985,5492,5927,5618,9795,30,4321,2154,2066,314,5020,496,4783,114,63,9464,7268,7337,1989,1932,5017,9481,7429,7493,7950,9213,582,4946,7256,1414,7329,6970,4753,8079,4377,3916,8978,9968,4465,8486,2370,5153,4232,5402,4967,5062,1364,3146,3030,6245,6010,4104,4309,243,5038,2402,8629,8838,7250,5517,9931,1405,6408,3057,3454,1504,6562,1183,295,1681,1991,3067,6844,7701,7165,7518,8835,9581,127,9677,9829,350,7974,9144,9960,1402,4962,1926,1713,499,1070,6938,2406,7614,1961,9336,9284,3080,5786,2202,8389,9495,8593,7901,639,815,987,1603,7514,7437,4522,3605,1689,7052,3648,1742,2294,9168,9812,8156,3533,8105,4015,1986,2994,6108,3184,189,4819,9247,1636,9912,405,8711,276,7905,7230,8707,7345,9612,1110,9440,3192,5339,4964,2485,7961,9673,6760,8361,2860,4600,9406,6506,4386,7646,3814,1654,8937,1751,949,5921,1375,1631,2765,9039,4185,4531,6437,4108,3163,8949,2588,6186,1419,6230,2141,9353,3176,4385,8504,2366,9413,1209,9428,6489,7473,5969,4419,2662,366,3110,1273,5793,1363,3941,975,7248,5485,3707,9121,3066,6963,1888,9425,1343,8025,5267,5591,5816,9986,3038,5649,7697,4197
4,2736,468,7723,3572,291,8295,7578,9008,5989,4327,8015,1872,1981,9300,8211,2779,5923,1792,9689,6925,8895,677,9264,8728,1013,6599,611,6139,6950,1056,2506,5669,8910,7955,3890,8502,6363,6207,7366,6297,1507,7067,8604,1554,445,5793,6610,3241,1355,210,6109,2721,1941,807,6838,7523,2806,8928,7793,139,5864,4355,2931,5399,7376,8684,9063,8560,399,2828,5794,5686,4550,6807,4851,5568,4003,3881,6240,8631,1190,4652,9499,6067,7643,1331,5986,5830,4517,831,1294,2646,543,8158,85,4746,6205,7385,3271,698,9500,8085,5132,6237,6015,7608,7104,7959,7538,3145,3116,430,6629,7279,9066,9515,5681,6226,3424,4124,5513,7423,3737,3555,2692,3327,4688,7329,8337,5452,8144,2803,2651,4511,4175,5162,8546,293,7145,5952,2891,6969,9208,9095,2996,692,2239,2979,7239,1568,5866,1707,2356,7988,6567,3496,7827,3773,8855,1846,1895,6093,1610,8595,8332,311,3189,2853,9608,989,9143,9317,8200,1176,2717,9102,8834,8733,3352,9766,9480,8345,6606,2396,8399,8522,660,8299,1445,9826,8247,447,5861,4748,787,1397,4725,8389,91,2009,5854,436,3744,8495,7144,2037,8367,6400,4425,9946,622,9451,7189,9082,2055,9683,7010,5225,5271,7125,3777,604,3703,2674,7597,6376,1781,6271,3560,3839,1512,6944,481,1290,5802,5560,6778,9117,5278,1916,4885,3832,7956,7359,1947,4902,7552,5134,6020,5423,4341,6149,7541,842,8180,7164,265,2512,9309,5056,6898,2958,762,2057,946,3220,8921,2473,6589,120,8644,1106,1291,2026,5471,214,7120,9465,9378,8951,4955,4149,9156,437,2771,6803,4269,6506,4912,9610,9312,3188,7443,9435,1308,3296,392,5958,7632,7575,6530,2975,8222,5161,1230,4909,4072,5689,8987,2690,3197,731
5,9006,2283,7198,5306,9917,8394,8298,9008,4206,2273,5544,919,2395,9300,1347,5141,4150,1523,4107,6465,8335,1023,6933,5936,661,6726,9861,6995,5792,4096,5030,7492,81,7761,9183,4082,3639,7843,9325,4827,9571,6103,8689,5883,4597,3551,5515,2896,6460,8358,7373,7911,7217,3370,8565,7193,6161,7270,5416,4090,2014,6119,4679,8077,8216,7225,9561,4838,4721,3168,3960,1670,2155,613,34,3474,4553,8817,3944,3123,1142,2284,9295,5777,2751,9434,8028,6716,6521,2334,1854,4501,4642,4763,4569,1766,6205,2904,2747,2775,8542,8993,5316,307,8221,6352,7335,5973,651,4942,5260,1912,217,6186,3303,9515,1932,6226,2772,9205,1633,6197,5359,9273,9166,3971,2670,2937,2801,1503,4453,5552,9097,7628,6511,489,4450,580,7529,2152,6788,1314,3103,624,5617,2219,9794,7296,103,742,9404,6687,1329,547,2957,7300,4161,6953,8719,2813,3057,3260,4564,6901,6145,9896,4245,1266,7909,5600,7029,4337,1069,7162,8938,4644,8839,516,2163,8104,9791,4904,3460,167,4062,7176,4079,389,533,9753,2484,9545,6265,339,4605,8152,5003,4765,4,9902,4111,2151,2378,9521,7315,7880,5639,1499,9079,316,2576,1789,705,4097,8797,4116,7287,8243,4168,0,9004,8409,5444,6303,6854,5969,5262,522,438,395,6856,9023,7905,7747,9040,4403,6659,9117,6317,64,6579,4964,1300,719,7907,7621,4028,6170,5376,1958,9734,479,9352,2119,9977,3517,5705,1889,6896,3676,3122,3279,5629,5259,2828,8130,4436,7131,4514,2951,9728,8363,4973,8395,4758,5577,1884,8444,1949,7353,1903,5678,7377,8768,8120,8582,1741,6570,3428,4951,2627,1560,1676,2031,1826,3459,4465,4620,5851,9458,650,7968,4715,4086,7526,7205,1510,7060,9327,2838,2708,5102
6,2981,5414,8087,1356,6707,8394,8917,9332,9992,1995,8314,6840,9113,8554,5760,5145,9309,3492,1115,6925,3413,4456,4510,7059,3656,6715,7105,3391,6808,3455,5180,851,8147,8661,1271,6706,4239,5615,1080,6204,814,6103,5240,4872,4057,1118,5611,6267,2556,2620,9854,3399,5836,5780,3817,5900,9050,7270,2791,2575,2861,7934,8108,1093,8709,1226,5892,4592,6052,780,5375,6218,8942,6670,2186,9116,1105,2433,8258,7281,2036,6259,8718,8903,6811,568,8063,4530,9920,29,3840,2431,914,7128,5797,9223,6289,2904,4411,1834,2592,8085,9338,8654,1163,8687,3213,5757,1508,6763,5636,7892,2317,156,518,1049,8905,3318,4731,3847,1063,6978,9105,9851,6547,6692,8061,8783,2363,3476,8144,9940,4234,4968,391,3161,8014,671,7106,7154,7410,1651,1553,9248,1171,4073,5638,8415,2928,8750,6796,7731,5474,9121,4023,8171,3564,8406,4281,2348,8962,9293,8572,9227,1183,9226,3189,2332,7083,9565,7133,4302,4716,8182,8423,127,6198,9822,2092,5803,5715,4538,8284,5176,8399,896,1223,3597,893,8776,6163,1220,6727,4748,8617,1397,5114,4874,9666,3836,5593,1275,12,8080,829,94,5639,4485,3606,3450,2430,1434,3972,7945,7558,3669,3880,3533,6255,5539,7163,539,5444,9712,1863,5893,212,609,7516,4151,5706,4547,501,1398,9062,8727,6443,2281,9729,4616,5143,8476,2704,9017,4841,3427,3041,6388,2002,5876,6276,9535,4043,8323,6743,7164,1992,6464,2678,9764,7955,1160,1372,7662,5576,8166,724,1625,277,4462,217,3904,1813,9011,4758,7475,28,3965,3889,2180,5261,2295,8594,5330,7914,26,7961,3846,7657,2705,828,6985,1149,6575,7212,4540,1746,3885,3335,2396,8451,8958,3266,8849,6735,5864,6348,517,6115,6644,6625,4334
7,9603,1455,6662,920,1992,7850,3408,6822,1092,8581,7254,7282,8139,2185,7689,1123,5923,1384,9129,8693,9995,5491,943,3175,6741,1379,8853,9548,7885,3503,4770,9002,3616,4915,5967,4082,9688,9506,4274,8961,7786,7537,8155,5883,1824,6965,5515,1140,6951,2179,8957,7584,252,7414,6793,3153,9050,6129,2581,7342,9064,1074,5,5472,4268,2082,2101,730,2460,9455,4406,227,8429,8484,4305,5011,5478,6273,229,9470,2130,8433,9019,8142,818,568,2770,5830,6679,572,7227,5634,6340,4525,6587,9359,335,3381,2747,9740,3013,5342,2967,8827,5863,8698,7550,7781,4609,9693,9134,827,5352,171,9661,4608,2352,550,8644,4205,7113,747,9315,3818,4946,5246,1513,511,4804,7543,1165,2941,2794,972,6968,3825,1307,5645,5661,7102,8333,9696,9208,4427,9860,4073,967,6010,336,888,3946,5043,7746,1820,8162,3700,5517,9288,7639,3446,102,6092,9835,8160,4617,8529,1952,1822,1421,2589,6179,1937,7411,8510,5791,4644,3962,5865,6312,5178,9154,3481,9779,5229,2850,2180,9413,1946,1078,3257,8193,1220,2459,5666,6476,7592,15,9350,2847,5682,4972,3025,4557,2258,7096,3312,2295,1327,3884,4280,622,1538,9403,6752,4299,8540,2553,3134,743,5823,5771,2994,5444,1155,5603,3661,6088,4646,9979,1267,2927,6934,338,9858,5357,5296,9392,3495,4011,64,824,971,3582,7485,5445,3638,8833,4148,2499,5858,7049,1675,5158,2313,4876,7421,3732,4327,9778,4375,5258,9605,9504,7851,7098,1772,8422,3755,4981,11,156,1302,8512,7410,2825,4587,4390,5033,4307,6753,9524,8525,1950,8960,8859,7703,966,3925,5021,8002,6499,4106,9537,2264,5438,5624,7478,3677,320,9843,2863,5086,6504,9245,2946,4908,6773,5467,3371,6346,5156,4873
8,885,7898,1966,7204,3787,9233,1666,4387,415,1616,5544,5755,871,1600,6058,3561,7560,8346,2359,1720,4342,7604,1925,608,6852,8744,2731,2059,3355,3503,4770,6453,3014,876,3919,4451,3886,9051,172,8408,6292,9456,8377,7866,2958,3147,8846,1529,2422,5144,6385,4167,2901,7414,9039,9583,6434,7508,3554,2328,3612,714,8989,1054,1801,76,2878,6360,9891,7570,6773,1532,3026,4670,647,9789,1531,6364,2084,8867,1697,2284,5488,3248,6227,1906,93,5971,9313,8786,2213,2431,2858,4525,2652,1766,7248,1144,3206,6762,5618,7352,5627,873,6559,7608,9170,931,2420,6652,9278,3377,2419,7441,3980,1252,4595,6522,8613,5247,3094,8062,5915,4498,4045,6315,8494,8736,6648,9265,6230,1150,6800,1325,4175,3747,2319,293,6188,9114,8397,4596,2111,8749,5947,8630,5120,8272,6805,4285,1855,2191,7728,4988,4122,5042,7389,9115,6848,2813,1232,5710,6730,3749,8599,2938,5068,5327,154,2230,6979,8642,9957,3129,490,1438,3542,6766,2985,1493,8086,3481,9746,1488,8189,7007,6166,4799,9735,5279,374,3558,5469,616,3080,5786,6686,9350,3289,8417,478,1275,7497,1489,6005,9012,5099,7009,6649,2614,9311,7593,7241,6169,4583,1348,6263,3576,7534,1412,9124,382,9663,6068,8251,6376,6314,4039,9637,7635,1745,9801,8873,603,4334,8727,5614,1110,9729,7080,3973,8720,1913,7450,2789,5604,7835,3820,5376,6956,4974,3696,3270,8094,8445,734,6937,4533,3267,9086,2100,7075,938,7554,215,3955,3120,5276,5833,5413,7779,2564,9139,4396,2996,7775,1957,9608,7801,6057,4393,3953,8892,1130,3007,4715,4841,1815,8298,3834,4659,6354,6596,5797,6213,1049,4114,9832,878,6664,7437,2430,2237,5679,4727,9194,6374,2424,214,1817,6975,6654
9,8204,1455,3069,7565,5610,4295,9717,6822,2740,8532,5013,2143,871,949,890,3268,708,4551,80,326,8153,4919,1925,4778,5719,2546,573,4925,5140,5486,431,6991,8739,8804,6757,141,6363,5615,3009,9805,4433,9456,9944,4314,6887,9131,8748,2372,7152,6350,6231,384,9057,5780,6767,5859,4921,1175,8965,7861,4437,643,1418,2612,1801,1860,2977,8129,1867,6030,1268,9648,8520,9163,5526,7374,4484,2267,6280,3987,2130,7494,9692,6894,1592,2149,93,7391,2324,6747,2343,8246,4642,8158,9988,982,9138,4470,5336,3705,8542,383,5263,5467,1217,7760,8994,5020,5727,577,114,9865,8663,156,518,5325,4074,551,7589,2780,7493,322,754,4515,8999,4225,6616,8736,6520,5671,6077,3548,9820,7194,275,9980,5815,293,9085,1674,3767,6969,6361,4965,8640,9969,1962,7296,4993,2824,1541,631,1907,8629,2500,7250,9749,3592,464,5431,2960,8487,4492,7696,878,2735,4227,1153,1113,9628,3607,9775,2864,8510,7712,2995,8054,5250,8306,3961,3093,9785,7040,9997,5459,8885,7340,3793,8296,9678,6537,1577,5469,5419,8199,3505,6719,6902,2847,3882,5854,3828,3566,6406,5946,8799,9438,9910,9079,2586,5965,8469,9841,8121,2187,8823,424,3134,4168,7435,797,2994,3329,8576,1565,1114,5262,5286,388,6636,4958,3173,5177,1784,7297,4403,7841,5761,5773,5860,379,5102,8946,9552,5922,5691,2133,2856,4351,4016,2742,4750,9589,8323,9844,7682,2648,6563,8693,7800,3027,5203,4712,9064,1149,4132,528,3967,5804,1912,9464,2086,783,2739,5753,9588,833,2353,4460,1938,5861,9887,2613,3533,8222,1998,4542,7421,6464,5256,6989,6109,1378,7833,4321,8280,9813,3812,8835,2702,4825,9597,4249,254,8348,5183,9432,2008,3677,4290,7416,2220
