,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311
0,344357,177130,370299,66278,492941,371276,511886,160168,285305,370506,380137,140006,120473,383957,304663,364635,405876,355353,269026,256129,121851,26206,136902,291277,257944,226163,66683,248170,260997,219181,441326,22553,467807,361913,519754,479595,512247,275785,423340,399771,5361,290418,443348,219135,439360,457803,93349,478215,4712,172197,464435,284753,285573,365352,68978,5991,223455,13042,287852,130975,473587,191119,372556,131737,362532,401280,286354,448707,232403,194270,356755,135729,517235,244005,482723,484723,385033,34647,275923,478907,445232,401038,121662,85460,120723,453673,381539,122038,414044,414258,41681,473993,492319,305011,473550,22509,483391,229534,517489,247234,472980,376023,520985,348364,219874,374664,516101,132845,401130,92505,157075,371645,332,206423,242161,130561,214137,414861,428108,115943,29219,218793,333946,378543,239055,96668,358323,4270,422303,471464,335085,229424,482140,108718,67167,257792,136430,144551,121363,251821,464513,435249,447442,351559,214715,402308,88443,378369,461714,334615,233102,55167,403538,272226,421065,268192,418388,466957,105839,8533,177861,443121,218737,362739,110640,415739,364076,482255,305422,159026,228390,261532,478255,516458,239650,159802,267912,170071,493457,35310,86606,157618,136688,447690,417226,206273,242595,162069,33832,325277,153832,99429,517556,138217,107558,223139,435162,401726,352634,373147,473498,454993,371664,354267,447572,42350,148812,335042,57736,333742,300121,437241,493079,505508,483445,56961,468562,101217,407617,40286,493199,203882,390585,196919,300458,236996,468417,89280,219228,392797,374761,371003,256332,289374,248799,177599,443246,421562,225306,443041,275695,195045,305214,478673,20387,451536,511005,74846,430019,86456,86761,349695,360127,247143,294967,24460,335353,435306,390913,6450,420900,131463,502458,151031,434553,528,462703,85635,290368,146625,187475,265622,465155,40728,217952,361491,207042,244189,344260,172628,137141,322450,518272,123838,83339,362879,67168,348376,388848,424246,20945,194928,111410,111737,503231,64823,511794,297862,508534,65228,252420,188304,216163,74663,195183,406173,213208,258173,333948,490362,88269,481130
1,22961,371276,66278,370299,304663,177130,285305,370506,512247,112448,110640,124246,473550,160168,5991,374664,511886,355353,364635,325277,121662,111500,383957,376023,405876,121363,380137,140006,115481,4712,66683,248170,473587,372422,219181,269026,275785,34647,482140,15079,122038,471464,186334,285794,439360,516458,519754,371989,361913,464435,373644,284753,290418,375022,528,365352,22509,418388,136902,457803,265032,443348,203882,117660,136430,285573,22553,475952,448707,54948,239055,223455,50987,511794,260997,43569,135729,218793,106164,193950,272226,191119,401038,120723,493963,25339,445232,222661,358323,512003,439543,414044,492319,52303,130561,289374,96668,234709,89636,160888,214137,453673,454714,225306,172280,219135,520985,136468,399771,473465,138796,187475,328720,402308,367816,375998,4270,332,355148,287852,120473,92505,493457,32053,86606,428108,370750,438942,493079,333946,131737,251067,88269,425896,492941,41681,136377,107682,421221,451394,88443,219874,108718,286354,356755,273376,362532,477643,177578,203770,42350,251821,482752,236996,491871,196919,407118,407412,300458,397070,232403,325995,271666,142601,360822,66958,68117,245007,206273,428460,302357,406173,261532,478255,228390,224176,238093,35310,334615,185178,233102,425945,296302,203708,352634,233447,286458,57736,274875,493199,218737,335353,511122,473275,454993,86456,424246,56961,378543,401726,93349,371664,257011,136609,430019,457832,131604,305113,204000,135783,256870,437241,415739,71772,406416,187592,131099,101217,476130,452411,38053,248799,67167,410322,389160,95876,31833,265029,399628,221362,392797,256129,127288,132286,9146,373715,219228,184773,157075,390913,194270,275339,405244,195045,11545,521256,300121,20387,296375,77282,376454,504134,366370,85460,310711,23552,188777,325432,519824,77976,310723,216407,291277,435306,369501,348376,447572,514176,195663,420900,462703,290368,11561,421065,144551,242595,256006,172197,492505,270462,225044,344260,265622,474337,325338,360127,516101,284807,137141,162006,87394,67168,279632,307892,370451,421562,270048,208773,427701,327525,303661,111737,482255,271082,454958,74846,443246,383079,177861,515427,447442,111014
2,162549,370299,371276,464435,364635,160168,66278,511886,356755,383957,370506,123930,269026,110640,304663,264374,285305,355353,380137,374664,5991,325277,75354,376023,4712,22553,473587,251067,244005,157075,66683,248170,305680,512247,492319,15079,219181,360127,252716,186334,122038,275785,405876,86761,121662,290368,226476,482140,177130,115943,361913,371989,284753,172197,473550,290418,22509,136902,285573,149958,305011,435306,54948,127288,300121,136430,511794,443348,56501,492941,291277,484723,135729,218793,335353,379356,362532,471464,64261,445232,106164,333742,287852,380410,191119,401038,517489,358323,85460,439360,477889,478907,239055,53171,414044,448707,332,453673,135783,138796,203805,421221,225306,284616,289374,219135,86606,520985,136468,399771,4270,225044,34647,512003,214137,220429,414258,279350,355272,120473,8192,435249,32053,457832,493457,375998,33126,392797,428108,351559,493079,466957,48065,130561,378543,425896,264976,454714,482723,238879,474322,108718,188798,286354,77282,121363,517556,251821,373147,273763,236686,478215,203708,358495,256567,445438,310711,131737,219874,481834,221362,443121,400771,425945,218737,390585,399628,362028,469587,447442,242161,232254,56961,460986,350632,296302,136688,354267,93349,381277,328720,346506,454993,287322,54282,302357,515488,138217,401726,366370,514989,284807,360902,131099,305422,230007,447572,428460,268192,407118,234997,118822,475800,493963,447683,187592,232403,467807,407617,214644,203882,493199,89092,261532,256129,188777,95876,256798,190061,516458,272226,144551,299433,287157,219228,186060,473732,58020,390913,405244,458372,420900,413947,481545,112166,160888,421562,67167,371381,245007,260681,178461,430019,478255,162006,260997,482752,160554,504134,72497,236996,24460,407412,122167,362489,363525,296375,52303,418388,151031,321206,511122,421065,187317,177861,17656,220247,421600,187475,349985,40728,367816,462703,344260,216163,399552,402987,265029,332647,325338,374761,434509,67168,87394,111014,35310,406329,465155,362517,478557,517481,482255,280302,517019,74846,147592,482742,206397,443246,194928,402031,365352,235564,402217,1651,195183,495376,528,515427,319565,258578,141404
3,267045,370299,177130,66278,370506,371276,356755,285305,383957,304663,115481,471464,160168,172197,124246,127288,511886,380137,5991,110640,405876,325277,355353,4712,477889,473587,376023,273059,374664,66683,467807,112448,512247,494585,248170,219181,31321,122038,275785,122273,305422,360127,260997,443348,373644,5361,371381,269026,511122,299418,364635,464435,361913,365352,284753,285573,254679,22509,136902,130975,203882,291277,111500,482140,395303,4270,516458,54948,448707,326010,239055,511794,111600,221549,492941,135729,287852,47698,110581,285794,401038,358323,218793,428647,445232,279426,294967,131737,360902,414044,160888,478796,332,415139,473550,330813,492319,355148,96668,375998,370750,219135,14773,107682,517489,236782,520985,493079,399771,453673,328720,58020,438942,256798,139042,7382,49351,120473,138796,493199,214137,130561,478907,418388,238879,32053,286354,92505,279350,437087,106164,207042,86606,493457,484723,425896,378543,517481,362255,213208,515005,478215,121363,189493,136430,296375,213081,6876,251821,389160,462703,435162,245007,447175,407118,513816,66958,362532,271666,289618,393780,443121,218737,20945,302357,68117,353195,465155,206273,323007,331099,460986,406173,478255,256129,267912,56961,224176,52303,478148,57736,268192,203708,93349,286458,322450,471565,196919,523104,454993,445438,275923,428108,89280,232403,146766,214715,48065,468145,373147,449277,394684,131604,415739,437241,430019,279632,383651,187592,34647,286590,461714,491871,38711,275695,89636,188777,31833,442476,203805,191291,225306,11545,272226,242595,273763,362028,220475,157075,435995,361921,35310,194270,135783,405244,420900,42350,402002,300121,477643,443246,335353,87394,195045,159144,421562,229534,94233,182366,85460,373158,160554,144211,325432,406329,380777,514989,287322,191086,218682,355272,362739,447572,151031,434553,202427,256332,492505,256006,144551,171383,144976,177861,214552,275339,101215,361491,233102,414861,270462,344260,111014,369383,236996,244005,321206,162006,67168,168664,95876,336544,92355,476933,299433,123838,468417,111737,482255,86682,500722,310711,74846,519824,515427,250963,106050,518222,399628,447442,258578,462958,349996
4,215977,371276,66278,370299,399771,464435,160168,511886,364635,512247,380137,314607,31321,304663,120473,265032,140006,124246,376023,285305,355353,275785,269026,225044,443041,383957,4712,111696,244005,121363,478907,66683,325277,297862,248170,370506,310723,219181,471464,186334,122038,473587,405876,435306,422303,370750,294967,58020,52303,317306,361913,177130,248249,443348,284753,135729,130975,518103,291277,457832,131737,284616,457803,191119,219135,492688,10297,4270,218793,479387,127288,239055,260997,511794,445232,117660,516950,139042,375998,236782,86606,448707,53171,380410,428647,111299,358323,136902,517489,362532,111500,414044,519754,492319,42350,453673,146212,172197,328129,219874,247234,22509,232403,225306,38053,520985,159026,493079,374664,320766,110640,333742,214137,482140,473550,435249,261532,264942,328222,470323,32053,329416,478255,448829,130561,189158,385033,401038,392797,333946,493457,478673,484723,146625,195045,93349,219376,378543,268192,425896,476556,259093,187286,296375,305011,236686,136430,356755,314011,378100,32581,447442,332,515005,323944,364076,407412,136688,40272,271666,154596,264976,275695,399628,116689,415739,302435,302357,204000,247749,289374,220429,206519,32722,421221,482255,48065,296302,245007,275923,218737,335353,144551,421065,487987,86456,462703,493199,25339,428108,96668,506559,402031,170071,69530,245976,300121,32998,447572,285573,459113,430019,45255,340696,107682,328747,407617,357328,435162,213688,289985,491871,31833,468417,516458,346506,272226,475041,9146,206273,219228,221362,35310,56961,194270,118822,421316,390913,305422,123838,492505,413947,191086,421562,353195,296657,461714,325809,1567,229534,136609,74846,417226,85460,160554,456633,504134,186585,443121,242595,360127,290368,112746,486727,6450,406416,418388,434553,404077,115943,528,24460,157075,402308,131099,477643,131675,187475,465155,226476,188777,236996,241567,344260,474337,96134,265029,111014,420900,87394,300458,241454,67168,454993,350632,498980,415250,454958,502802,424246,111737,268158,93482,213661,224176,365352,75308,206397,201166,437241,495376,258173,131604,203882,45225,248799,217666,92914,104800,77184,516101,84140
5,470478,371276,370299,66278,464435,399771,160168,512247,302622,380137,66683,31321,5991,495376,110640,445232,294967,443041,127288,376023,265032,335353,383957,121662,401038,473587,325277,285305,517019,4712,115481,356755,492319,269026,515336,370506,293418,248170,219181,482140,244005,519754,360127,405876,122038,275785,285794,305011,299418,364635,177130,361913,328129,172197,284753,443348,191119,10297,22509,290368,135729,111600,227733,256058,471464,4270,484723,239055,57736,492688,325582,492941,291277,203882,86761,511794,304663,244332,333742,236782,268192,317342,380410,286354,477889,430019,136902,503330,448707,439360,10153,358323,511886,453673,364076,135783,157075,219135,330813,392797,332,352523,37835,328720,421221,520985,374664,493079,67190,136468,279350,473550,203805,218793,32053,214137,120473,8192,96668,435249,212942,138796,375998,478255,428108,9146,493199,101217,92505,111500,106164,493457,136430,157099,378543,315608,425896,146212,346506,159026,185049,515005,373147,121363,314011,362532,296375,235564,238879,421890,34647,428268,23795,95876,435162,522446,131737,136688,345367,218737,512003,225044,302435,124246,85670,414044,406173,305422,67167,204000,203708,369925,256129,120130,228390,224176,48065,443121,445438,111737,462703,93349,322793,417499,471565,300121,302357,86456,138217,106050,261532,480625,232403,517489,474531,371664,285573,230889,194270,35310,326010,263207,131604,232254,437241,230856,471542,249642,477643,407617,482723,390585,196919,473275,188777,31833,468417,272226,454714,242595,451659,362028,219228,144551,149434,516730,98557,390913,329416,420900,117660,114661,267912,371717,110581,77282,229967,381505,260997,478557,158710,377388,516458,504134,214644,328639,486613,179524,245007,492618,235429,501569,482752,256006,287322,514989,457803,137455,447572,390809,418388,173644,402002,333948,187475,188711,40728,236996,361491,233102,270462,300458,344260,275695,159144,399628,465155,348086,355353,371381,212156,201166,301177,87394,143715,454993,476933,33126,73300,89280,187317,303661,482255,86682,364122,136609,472980,24460,74846,67168,287157,421562,251556,43569,515427,447442,106708,258173,406609,455050,219376,220247
6,316055,370299,66278,177130,120473,248170,285305,492941,511886,95876,160168,291277,52303,269026,257944,405876,211824,121851,361913,304663,428108,371989,26206,115943,364635,519754,121662,520985,260997,66683,294967,371276,140006,31321,122038,421890,314607,220285,219181,517019,479595,512247,34647,157075,62552,370506,360127,376023,399771,464435,244005,321152,172197,86606,412976,365352,15079,135729,473587,191119,478907,443348,439360,218793,518103,58020,511946,130975,356755,434509,344260,4270,219135,517456,511794,203882,471464,445232,74160,287852,272226,10153,484723,492319,453673,185491,177921,343122,381539,160554,136902,516101,461714,332,286354,22509,415250,4712,222661,493079,374664,421221,37835,110640,305011,242674,335353,236996,414044,333742,355148,482140,473550,131737,488772,414861,130561,380137,239055,401038,24734,479387,112464,448707,333946,236782,48065,93349,378543,154596,229424,45225,328129,261532,441326,482752,136688,473732,136430,121363,314011,287322,135506,478255,362532,447442,483477,55167,92505,302357,276905,320508,515005,138796,271666,464513,275695,218737,362028,188777,96668,82061,162520,142240,364076,514499,206273,469587,275785,256567,299336,196919,107682,443121,392797,224176,40272,8533,493457,35310,56961,482255,284753,233447,417226,444463,286458,300121,417499,86456,449294,25339,401726,131604,447572,337939,85571,415739,41681,430019,285573,406416,511122,223670,246548,475800,415139,467807,517235,458372,214137,203770,491871,232403,454714,31833,468417,328747,83339,457953,241454,274875,77282,466,219228,389160,144551,136609,399216,292713,213208,256332,194270,213688,162006,390913,405244,289374,160888,258173,187592,217952,32998,225306,443041,135783,229967,493498,353607,74846,236686,85460,424246,72497,516458,86761,271082,399628,435306,190253,420900,107699,418388,353195,428647,191086,271317,415005,226476,195663,182366,528,151031,337222,195045,153316,517481,474337,92355,245976,412961,477643,187475,265622,465155,361491,148474,358323,111831,203805,117660,322450,335042,94874,123838,295653,262088,87394,454993,67168,57736,427701,111737,87792,220429,24460,7163,514176,40728,250963,406184,515427
7,91511,371276,66278,370299,160168,464435,370506,285305,512247,511886,112448,264374,304663,380137,110640,374664,211824,364635,113191,269026,32053,376023,121851,473275,111500,383957,405876,121363,4712,66683,360127,248170,482140,492319,15079,372422,293121,219181,121662,34647,479595,467807,122038,287852,443348,305680,86761,519754,275785,177130,371989,318987,361913,462958,491652,314011,238093,110581,135729,401038,117660,219135,223139,292374,401280,136430,285573,22553,373715,157075,95876,317342,218793,248605,493199,136688,142601,191119,85670,286354,478907,236782,370451,160554,516458,511794,302093,52303,236459,203708,493457,55167,453673,425896,517481,177921,106164,256129,520985,222661,399771,187475,214137,414044,445232,355148,120473,358323,136902,54282,291277,414861,375998,471464,239055,448707,87082,493079,75200,333946,177861,428108,332,378543,67167,184773,258858,242161,375788,418388,468015,229424,88443,512003,219874,267912,112464,251821,356755,244005,273059,58020,305011,216407,195045,8192,492941,227695,294100,131737,410322,272226,233102,491871,193929,138796,32998,232403,85460,300121,218737,457832,443121,293202,387425,302357,275695,411729,22509,170071,364076,457953,406173,478255,435162,362532,479283,188777,210887,447690,261532,284753,287718,473550,286458,24734,511122,245976,365352,248799,93349,196919,225605,494108,437241,92505,41681,473732,400711,38711,332440,25339,328088,402308,146625,482752,280461,203882,521256,407118,31833,406416,454714,236996,392797,481915,144551,57736,465041,219228,346506,196239,521,135783,256332,329416,276905,420900,162006,405244,217952,475800,225306,160888,353195,271666,77282,32741,353607,55757,422303,501569,6450,504134,236686,424246,260997,268192,213618,325432,447683,494479,305422,77976,435306,24460,137141,335353,204000,473465,457803,447572,451394,412961,116454,107682,421065,68117,245007,14773,483209,247180,361491,344260,146828,12861,123838,369423,131463,365919,477643,87394,92206,454993,159187,279632,421221,67168,507294,323007,482255,74846,72497,466957,145664,71772,335042,515427,362028,289374,447442,296375,528,260229,111831,399552,125465,181488,258173,186334,414258,421352
8,325870,371276,355353,370299,445232,177130,75354,4712,361491,512247,515005,160168,254224,124246,226163,66278,5361,376023,314607,370506,275785,383957,66683,383338,153832,462958,473550,285305,219181,364635,269026,287852,248170,356755,480423,122038,294967,358323,42350,304663,521357,157075,86682,405876,428108,511122,361913,464435,89636,482140,284753,97791,127288,478148,16460,22509,135729,329078,130975,435306,285573,443348,501042,492319,493457,239055,241552,492941,601,517481,244005,106164,511886,146625,414258,218793,115943,195313,223139,177223,86761,425896,136902,162378,414044,448707,362532,380410,453673,398459,210666,107682,366184,144551,219135,120723,193929,520985,86606,372422,65182,473587,136377,291277,120473,98557,110640,286354,371664,214137,471464,380137,157099,156179,437087,493079,333946,131737,399771,88443,219376,300121,187286,440621,237496,245007,511794,305680,317342,515784,375788,332,488772,421065,378543,172197,333742,374664,296657,465155,121363,251821,375152,136430,177578,399628,514989,32053,420900,232403,302357,225044,196919,67167,407118,481130,390585,477643,85460,23942,271666,244829,66958,218737,96668,406173,479400,460986,82012,259093,228390,478255,277559,491871,343560,224176,35310,279426,32581,478907,517489,320572,511174,467807,233102,238093,328720,203708,95876,473275,517556,401038,135783,428647,129937,468417,261532,93349,516458,466957,101523,469587,360902,454993,37118,483965,519824,229424,223455,353195,130561,286590,101217,260229,276533,203882,435162,218682,31833,256129,328088,272226,219874,219228,5779,456633,57736,443246,194270,409200,275339,335353,283255,421562,371717,206397,137141,77282,375998,229967,7709,92206,474465,523104,407617,162006,260997,195045,188777,73293,487987,236996,213081,428271,504134,461714,196239,59183,121630,406335,447572,18700,405244,346506,132036,151031,378369,25339,290368,360127,171383,516101,111737,92505,270462,300458,344260,275695,492505,265622,216150,131099,402031,322450,111014,325229,67168,270048,34647,212156,493963,290418,302622,31321,482255,20945,250963,74846,371381,295862,38778,191086,483209,91505,40728,487833,495376,447442,457515,449277,519754,260518
9,216439,371276,66278,370299,160168,464435,370506,66683,512247,112448,304663,473550,380137,110640,314607,511886,355353,124246,32053,376023,218737,374664,290418,364635,269026,4712,405876,299418,219874,482140,383957,360127,492319,356755,473587,248170,297862,305680,371664,287852,219181,467807,471464,122038,15079,172197,66958,86761,226476,400252,89636,127288,177130,285305,464108,314011,443348,117660,251067,412976,135729,285573,363652,371989,219135,516458,54948,95876,239055,484723,492941,511794,291277,50198,136902,157075,186270,10153,38711,142601,236459,177223,104861,361913,85670,439360,93815,414044,22553,328728,111696,203882,112464,242674,425896,517489,453673,106164,256129,520985,399771,482752,275785,286354,225044,358323,4270,306224,445232,120473,435249,131737,239320,42350,375998,411729,238879,448707,390585,402308,493079,333946,328720,493457,428108,284753,378543,327186,451394,418388,8192,279426,108718,366894,251821,362739,136688,465155,121363,517556,58020,45225,362532,273763,290046,399628,422858,289374,410322,244005,227695,220429,473732,219376,512003,417499,373147,265622,4101,232403,289618,332663,415739,106178,263639,362028,22509,457832,228390,447442,478255,302357,56961,224176,284807,479400,123838,511122,478907,273376,93349,395303,473275,300121,118822,335353,487987,434553,493199,445438,401038,169944,410583,447683,401726,268192,430019,357740,447572,225306,203182,210666,437241,27066,354267,493963,187592,293202,136377,101217,407617,214137,491871,188777,353195,454714,236996,514989,138796,35310,272226,125701,461124,219228,135783,390913,428460,162006,275695,421562,468417,271666,420900,77184,144551,71772,478673,217952,85460,74846,130501,359492,131099,188951,195045,187286,131463,21628,405244,92355,250963,421600,465041,206273,57736,88443,52303,457803,490292,110581,9146,459113,332,421065,151031,249796,361491,245976,482719,344260,516101,137141,299433,110869,442476,295653,223670,249436,270035,87394,67168,18470,305491,87323,454993,267912,406329,111014,392797,347228,32561,321206,111737,482255,217666,493774,24460,295526,365352,462266,325432,14910,267066,188304,495376,319565,296375,34647,258173,258578,516787,334981
