,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311
0,12735,191520,490292,384290,418674,253621,123361,512822,471464,19425,424500,331473,227198,450541,457715,415513,512051,20731,378509,250005,9942,418628,159958,63158,217336,437958,493457,453536,140800,292525,523104,44655,386035,429758,233581,505666,31835,335677,141865,34494,104879,14978,323826,190013,77626,308186,232355,106175,425196,157057,28157,370646,141040,461010,461124,454993,302352,207187,400186,225757,152666,135293,269255,84385,443749,105648,366370,203323,447474,219851,88797,108472,103571,275937,514499,123930,45152,191771,92428,109227,388687,301177,73256,147592,197200,112530,507540,348854,165307,379148,381732,198733,392322,208947,95254,421562,502792,76999,146212,123895,72502,74825,504925,274099,92556,510494,480423,113899,17782,496411,166189,518844,177921,159187,191063,275359,385567,189547,484388,140420,256963,413236,370893,410313,232306,303624,209574,283254,115943,321599,129831,389637,112507,512003,185147,196255,312332,301100,256567,349644,395708,521357,457987,212256,34876,187112,127144,36113,59733,491063,35077,210399,241909,271541,392537,94122,267903,502795,140418,418363,492588,411729,344914,341555,294982,368737,491668,452771,426027,155931,371003,412632,317775,67506,33456,405639,89092,378328,237128,101873,310067,221036,264102,41681,408362,254747,296361,268711,251470,139922,422621,235575,349985,162789,487031,119809,181718,502458,397070,208492,452264,25150,500027,483209,184315,54403,124715,156966,451394,160384,8218,194073,208074,62694,57228,38475,309326,458549,522736,373386,143342,494494,381914,232327,128327,134171,487196,499893,320045,391452,257645,131794,102912,424246,173959,206313,190159,65557,191784,511720,235474,136377,73649,471165,511252,448674,108795,518101,77746,81703,432738,69469,443422,141404,492862,383396,45079,481322,466939,311988,498548,403090,411412,452194,471122,264524,124246,10153,163738,279326,269056,222594,491656,120723,78514,325809,41766,75591,81251,481834,460295,82012,290857,187439,314912,150747,476599,96899,473532,373431,501768,359285,154134,233447,4046,342292,511935,319842,454205,469934,435133,480413,362733,459418,11413,472819,498598,396254,5238,44224,181128,377401
1,271315,71544,523358,451668,389663,247760,152879,483169,345330,91948,127954,362432,4119,105058,381481,482144,424189,395374,491271,320586,81613,264243,305113,473101,505790,247143,106588,403648,76999,125457,389930,179757,15584,305673,159301,487724,110712,303754,247180,467499,405920,509493,166208,321163,349013,366278,379686,155427,329843,358746,228199,362879,225745,277438,308981,185850,314907,10444,311932,406329,145960,457517,327797,306628,270404,162460,281284,270112,98725,174692,258061,490727,324453,63233,173496,334981,27066,371992,483454,73081,95034,381218,38251,34250,369906,326676,488647,139361,454020,272890,260833,175699,379608,475179,80892,457986,451897,187475,361159,188304,217472,487099,138217,139558,297607,496902,424246,472520,281986,326389,188026,477080,55497,20453,482140,44230,320077,184173,40215,225039,336699,164953,42643,480039,521539,413236,451862,98608,277925,365763,365415,496101,425066,421597,163995,237180,113274,366275,519466,46703,78869,485421,271541,126906,246253,407896,204795,76326,372348,222862,263520,85531,318143,518710,253680,77423,136396,165476,507167,494202,512990,277745,377184,490362,128708,43114,29455,403139,338544,132873,53171,381202,468189,11530,111737,258966,370687,427684,445013,389994,417739,308759,235527,297783,467987,56802,440146,235564,522797,267756,238093,403683,396542,193798,348854,68750,65142,184576,191971,184606,470678,395353,26154,522425,358128,366370,518302,361946,373715,78748,39262,115620,208562,81703,222365,170339,481229,507688,1220,207004,364635,323706,349353,306288,361032,181521,74825,346506,98464,225912,365794,272558,257523,34776,151353,446316,483672,222,271679,141247,515005,432741,332663,99307,369423,179995,427093,426258,149304,393602,197789,106697,411366,343405,185558,507700,52745,382732,119446,475952,215884,220923,21628,494599,377476,107977,456823,376646,342890,175672,501768,79594,187289,444713,392637,411666,115669,469583,96656,318737,466229,397486,417999,507294,122167,494604,68819,319725,296361,7033,11493,503982,86911,101710,508968,463176,226476,117500,272913,22961,168865,148372,442552,275923,470906,436178,79536,127025,26006,105963,10902,364395
2,204795,385834,334989,469828,99024,473378,106876,408658,353661,376938,502458,271114,163459,277374,215811,414401,434487,173077,520323,456545,188542,85703,144976,259093,228157,20691,205270,251470,513165,168067,393022,376841,173209,270462,278472,315142,339733,484486,236329,18640,217900,197022,283701,412302,199242,518859,380142,318047,349067,426679,362133,199381,79653,302103,516664,82994,446396,310826,222139,102595,458693,276533,454306,131800,433258,235853,191384,323248,336021,115669,114583,299033,511063,74149,491624,302226,213899,57935,230789,57959,186978,212391,458434,9374,373594,22509,108055,304601,44818,220923,275295,264823,329232,134323,97388,456133,58067,176941,377586,137594,285080,96727,248741,312057,90691,235568,195663,284590,108977,385567,48976,11530,153454,426267,95024,112306,236686,48810,164293,350719,460434,178265,187399,281074,226476,187640,88055,402579,495725,483610,487220,106491,260922,432465,294840,10444,349257,450541,395374,147807,174833,452841,251374,165772,137190,308186,50008,160019,33121,516213,42838,486766,49455,79617,235575,393161,486727,310502,429604,280302,103350,251405,98510,159873,203735,328720,409892,480276,442053,256781,207144,214644,325493,193134,401970,168673,486428,332985,511519,319211,101183,240090,186896,447566,276020,322295,50509,154467,498369,356877,489391,130313,111410,372844,244181,233154,505389,126906,47038,210646,76326,485603,354678,272890,450489,349935,305075,280461,384161,477643,171306,53587,270060,152075,332663,376871,22899,293683,85063,328392,163995,328254,81251,177913,26533,302979,512524,89442,162150,377628,414358,302559,386930,508276,269503,101033,124974,475453,171822,92655,367350,127495,404554,101638,428330,154596,495246,520200,409887,485270,168311,470657,406176,252716,433203,127808,265751,230572,57048,479798,105230,56501,109374,140742,332047,158894,97441,353166,305680,457968,324943,509491,232032,459418,293202,183330,246947,109193,245024,269036,182015,29455,150660,270035,123550,452234,87323,500733,145390,53995,164860,160986,71780,375029,300958,73225,236893,412398,169062,396556,515366,61524,185510,429561,158064,248170,520365,312922,187475,25339,449287,92972
3,55811,230058,131360,164859,336025,437756,421221,444713,217455,56200,172569,478069,53398,323495,18693,212458,22872,302423,394559,63751,323530,118356,290266,233154,381953,408000,260533,191520,73989,96558,143342,182641,191086,355006,31543,448316,480413,233102,281074,414658,428454,163819,96964,364194,342591,442053,155004,353490,162131,291243,166938,402987,309855,91010,282761,330623,274806,229988,106564,453404,428326,7505,101918,212446,173630,321341,392565,141772,272215,376810,486428,70985,257748,453003,447839,448354,418363,32377,403915,381481,128729,325616,74223,343301,320508,91103,169944,419504,36287,434518,49416,459476,161193,178823,415496,441725,101033,170111,249124,473732,128604,151169,98337,371197,387309,448116,222661,468287,105963,94593,421890,47752,267157,235527,443496,160019,250538,450908,61860,240935,219228,332499,248605,164855,506061,416949,500807,515336,242667,194073,44519,16816,18144,309396,354583,432200,429720,242158,459170,305521,503704,98324,403104,179146,162351,364214,272893,471072,407259,144936,184729,88933,130501,434817,206695,519435,140997,105713,227716,92355,82111,398459,240218,171306,295373,262088,26989,444485,240090,209580,193842,209764,314118,236489,202532,140182,454571,263310,224184,260201,122168,459913,467275,169520,469828,316077,365984,404648,92556,489299,367348,339694,332974,444507,5573,89317,482723,53779,327277,440723,206134,423551,109632,178294,292819,467123,20280,30768,419124,223139,472718,149398,152839,200500,519219,508925,493878,317342,73300,302042,235575,420811,405554,114861,94936,400424,374293,230485,522445,81251,155491,456633,88230,97545,378714,29385,294237,64657,395423,87622,489044,356169,349718,52962,112400,438196,321364,11530,301177,258688,431642,506993,263830,264510,205277,285932,444293,401038,488120,430232,223455,328728,462569,63515,97082,407273,217336,203568,197540,172465,164009,443348,130127,102912,333081,163650,157880,175889,89207,487496,422489,468619,153754,330365,26787,375353,6296,22758,210881,124595,303409,132481,316767,237417,109227,237128,302505,440138,79307,46387,228992,164060,302799,4891,461466,266969,276912,452648,83852,261532,435876,127217
4,108130,184773,110958,446084,157618,435681,4797,73110,420655,481545,65334,511372,176430,421066,57522,145055,194355,498333,503704,375491,232457,500733,194505,180278,376726,505024,106708,311675,522252,362831,431929,324294,456745,243463,19899,221287,187495,368806,285080,446915,224271,391910,508156,77165,171548,19071,86911,115289,20554,98340,300958,210904,185465,113826,68640,438971,86016,483721,367500,411475,339960,126819,127917,295102,301593,87622,81251,376810,152649,451862,196734,304104,454714,327154,517042,351526,47174,282761,436933,130612,201494,213412,36345,250753,283301,120799,50868,108055,402654,346932,367348,31398,381539,434690,143186,459101,446709,223471,4618,112164,114628,13861,3241,74768,463746,442887,453582,28225,181059,371989,467795,506304,268628,436989,53308,387309,465564,159595,508848,260079,54902,113191,4637,205323,397486,438935,120441,279426,406176,333762,284590,41823,41612,212225,73578,275339,263214,463322,134329,312462,216771,506993,165133,212508,259093,314013,230511,58088,99121,244394,264518,81372,174165,274297,192449,237483,362395,349679,435220,456627,81346,24565,65236,518858,333351,334729,169806,286678,519239,490034,181755,247505,296361,182750,256337,33932,514652,504525,433287,76723,161655,354734,235691,160168,207004,427089,121091,370310,332499,19968,241909,443024,242776,307506,74693,396516,293121,147192,120703,731,282369,273651,326676,30081,298841,389435,499275,219376,402002,198873,361041,446599,512524,416200,461287,30771,203770,468015,287852,22032,120419,311988,127217,428578,318839,235474,131223,299941,134335,208074,69294,35024,333802,435306,63085,381806,216864,149412,160649,245024,53036,272293,214715,71104,127616,214137,478255,134935,34237,349353,113832,509067,505839,291080,173936,445438,244661,181411,350457,400468,503006,114571,183641,488016,294599,96084,342607,512095,86682,187399,34918,506029,431165,46528,295526,483965,33150,128252,121961,186799,170153,351471,522411,256058,187859,332943,225912,229470,133289,329855,212091,60324,6849,342268,362880,155514,504351,278926,320479,362771,18288,510747,138392,486916,308981,266683,109368,9600,497844,62694,307636,50698
5,20691,229532,412205,408362,167884,348732,410861,461996,456820,513053,321163,403307,236248,185923,279640,224180,168865,346917,281687,508755,273651,217981,302552,428271,233230,338114,174832,373233,318322,385711,195970,501247,222982,88797,318047,168720,242674,218682,78046,63996,91010,260970,232646,328129,293569,11193,54837,250963,332386,28893,211689,78403,463500,97324,326010,320004,257762,262255,377343,367816,511072,31305,439653,423752,154696,84385,482683,498286,89975,403090,516669,7018,258038,494334,262382,180392,87429,280461,394559,497416,511946,286953,285408,113965,303585,268151,450315,345061,79105,58872,40600,40595,39418,64671,37382,505880,437381,121971,132845,129825,442053,218485,302243,90083,497914,373597,471195,315601,236125,235575,192906,301236,88269,171866,236996,111698,159187,15897,455894,86335,507812,94563,227137,267157,389874,350108,398532,468204,501227,188711,399048,417951,109632,377184,336219,36293,121285,520706,165151,383996,8649,287316,263159,388516,503289,12603,264732,227198,203882,31911,367940,66951,354113,235691,260681,62882,347710,361378,182566,461017,392322,332663,123550,156046,352391,114061,375022,253882,350319,299974,305041,47714,398459,302042,415960,371276,31741,12995,331099,267740,176795,502573,236796,305494,75109,474141,69154,361957,99539,18700,82420,404952,442959,218264,476559,109634,234369,395720,301896,219070,354505,497520,204254,109227,101523,10486,22553,198507,83666,412894,370646,504971,52808,266560,189316,26314,501563,271317,235564,153754,43496,140997,111410,162351,56501,370967,517556,75200,470906,469341,167428,79616,352122,440985,103910,40214,25719,324982,403648,273376,90336,93743,263827,67720,235568,144211,507826,316475,222286,108257,513844,381750,17623,481915,197540,16393,41272,498701,32262,494182,77282,312196,462885,175827,345836,457946,498223,474794,283799,368192,422303,63303,137031,469583,110761,181725,397486,513482,453346,120070,331242,395777,363381,291424,226555,295526,150626,370993,190416,375998,212167,447070,304093,31042,68432,238131,142492,506359,62826,141247,76846,194871,207838,522069,157191,126757,353332,88550,211596,360837,178888,20454
6,79617,478776,8943,482752,333762,391968,384276,485228,493878,6705,47815,270048,339878,185391,511380,90257,34876,343706,408656,300170,38660,212225,370068,472395,35311,308497,490312,488592,176859,294100,393792,216419,497095,438015,465848,35313,200757,105314,254869,336288,325293,400537,399460,61774,270676,192675,36332,126597,332842,89641,350440,1260,426827,321457,288856,194871,328747,117,216153,423947,13861,437428,415301,32377,355272,194687,246090,209764,501042,289883,229617,473532,266382,460338,66231,522252,160888,354583,229084,10153,20554,433106,382098,522422,485526,38778,393022,417474,19587,303203,119809,267871,253882,88055,178888,397419,22022,157666,52873,31741,92505,302313,129412,313065,378002,373204,193810,332933,141545,95207,228785,252031,105058,448276,161145,160465,511794,105489,171655,85546,228550,222487,165772,23732,122167,372549,44519,315142,257660,494133,39075,110619,452771,147642,461602,236228,451897,321615,372278,3540,483,77746,63111,125674,84043,428655,115612,442865,302898,315608,264859,231790,34150,417999,301909,14268,299798,231464,118418,287631,177778,128813,149972,335042,337893,155382,51016,445667,457987,375680,128490,4697,69285,99863,241552,83120,456891,512005,186799,37464,27187,498286,31312,496104,204560,111069,354079,397042,38551,121851,406173,423721,280321,20668,103503,60888,162581,165307,507826,460022,235575,417561,37411,381620,311668,138020,476414,420529,481627,304058,401038,317589,28914,247234,365352,92988,91511,195397,402881,487724,415043,346506,338544,39419,246542,82994,27416,249796,41272,171383,39687,363022,420405,37665,177541,350837,183261,23962,274099,392795,248170,271949,428647,32100,416639,313230,167706,1651,271362,84307,328181,254747,347484,518858,132034,423627,364214,1507,56188,371717,486428,153595,439820,228066,295280,508214,405401,318047,252277,151571,87429,126666,407259,30891,393780,385100,453346,407607,58218,190278,5071,491342,100119,253261,255319,16604,122875,371803,497844,183778,454571,447474,115082,321634,342644,485143,65590,486464,160986,377426,501625,393456,248623,301470,514176,348770,19252,518233,169386,319579,411586,320004
7,503289,8677,471433,137455,484300,47427,474337,240432,428460,55757,98465,335677,511794,176891,232414,103303,46975,402842,250522,77880,105581,979,52374,498480,485901,402975,151110,213661,265635,306224,393478,343711,520323,481656,313539,388519,126482,392322,266824,516101,11566,355006,213208,491787,182566,256006,120673,500734,275359,340351,421316,325809,472300,250772,53071,173738,166189,340102,495049,33116,497693,144469,120215,147050,122223,300880,468562,42265,309834,409221,127818,336898,477765,251405,182852,107047,91548,358495,46355,356800,231947,260976,17731,404424,515836,355905,163995,47244,28765,376871,212508,460141,366366,411542,25907,428268,350632,516347,424233,243278,201620,370827,452444,376454,337442,327277,401976,52808,52745,498701,185317,446467,230668,161977,486441,422628,270565,194368,98807,268126,50506,218934,43447,147804,76999,505261,266009,173635,99093,462703,172154,509803,106869,462150,431811,9237,300471,45079,131738,107970,402194,478167,110082,252936,135087,488306,316711,497359,49629,419188,81373,287850,64036,514254,46763,238996,94593,225586,227929,313020,269394,293254,185491,512811,242158,479015,31243,68795,497511,360019,419243,164504,296454,121696,273376,215872,410313,93226,419030,162378,51016,352426,496883,183685,113899,263105,178461,105303,4772,48976,335888,167005,234981,146458,7685,11006,93482,133289,228157,90931,366821,423985,352453,94874,230905,337294,223670,323384,454696,219093,249796,140264,78745,194355,136430,437428,217900,333274,518859,446830,498286,166565,248249,4637,414864,275112,448193,206273,171893,225044,193407,427089,156375,395425,508255,484788,439346,8773,50549,306628,253939,321587,150785,261919,234369,422977,317589,470817,25555,191291,519250,293669,20359,203805,518858,383561,507256,341555,65236,230322,383744,402906,438487,23537,156093,10437,35310,366370,78063,248170,468198,454430,455050,23467,60092,225060,379965,223863,291465,211821,104270,288241,333741,377426,334208,67252,165976,424699,166104,184782,233696,370337,42513,53801,395972,165251,321163,64261,483610,102712,382098,67288,187756,60919,311803,194687,395535,295982,409043,62500,16616,63111
8,185923,20945,306905,411729,329869,25704,61834,521505,76817,121206,492315,150956,475419,285484,240371,25906,415960,165945,237769,37082,331262,150904,138637,286165,1731,174853,467022,154913,305471,271362,143586,189883,519239,507294,255150,345143,444293,110917,435249,59433,263758,441962,296100,57935,2026,452264,453404,483169,164402,53666,446352,392717,42350,14091,257192,141545,517552,319145,465520,169779,88711,36515,195056,9603,414923,103108,472837,63288,450620,471542,97524,431929,277135,235870,455124,350108,247950,447041,285837,92038,192530,498639,149188,431612,116111,34589,466480,275793,49516,187399,225967,91511,299656,475179,510923,34150,328334,310524,307859,67950,83492,11530,76813,317829,237180,223827,129954,49351,133547,419784,407874,370337,75673,394446,439879,54593,229532,494182,263105,443240,345595,222286,141184,490882,336021,417238,522814,264243,321457,124595,412336,282618,51180,431616,96171,390363,352307,331726,210646,174230,85531,480479,255990,426446,370993,142259,278470,109019,143672,486789,451659,236516,177063,13334,373594,435265,340531,444553,332047,284707,370386,236013,350642,36293,513673,155188,172947,77282,169062,250772,355148,147284,28305,469472,104861,417612,47450,50559,279193,463141,409948,136128,493634,244058,204953,208166,239951,36402,522792,407607,221597,158012,150541,3054,467373,50848,102337,415809,496065,259786,186896,446647,296938,10295,419030,401180,345899,96734,388082,299974,516213,397872,365940,452234,412267,157075,203532,302505,118938,90855,360846,79653,160200,220296,26642,318047,475324,450390,434705,463678,252275,220034,309326,98139,239972,490657,8484,28863,328222,36198,139564,33073,450716,490217,515372,314600,98192,484484,357013,146286,316951,326010,568,421191,212675,369869,490928,466601,190450,398316,210818,512815,282259,425428,85635,515005,297618,132919,374738,42513,432547,216878,445232,13557,81373,372278,42838,201173,478449,309207,22562,304663,375022,378055,433287,76846,400158,211515,380338,518036,157818,68819,375029,240587,363295,504102,501239,117984,214808,360010,268998,7294,93349,207187,225060,101817,388999,333498,4119,461089,291524,302358
9,302622,473435,76817,300644,35238,492315,324500,419003,125915,303393,175493,99580,379269,402987,470128,187259,361942,502994,167438,416404,209620,47815,360019,111299,117000,431982,376303,505508,108865,236559,305100,254254,444090,379118,186896,427756,399771,188950,176430,209782,236459,115167,101779,374761,505382,299433,344357,355006,331000,245024,517474,480510,497031,191492,492688,11561,77100,369157,271317,212091,361113,220296,498701,133797,216771,97618,429863,104565,14182,193842,47792,1567,141562,246526,493079,405383,456823,385148,16312,229988,39589,175339,463176,94683,522514,432050,203409,81487,323969,98340,498400,112976,168430,115947,398532,44867,88893,390792,120703,176925,94293,265348,141545,460141,465577,239930,325362,168067,136780,457047,101215,194871,48244,344639,359473,416351,428642,461124,12995,431509,103625,77580,44580,242085,371026,164318,98557,128726,354079,286496,244475,114776,382490,495458,10488,431980,314011,286353,204610,96601,500570,22509,221362,406313,270676,341359,232837,70668,479541,431186,44058,244318,321888,494245,428299,256525,295108,48065,196573,244332,24075,224184,30171,412180,430743,47655,370661,115592,429804,328181,75344,134013,259855,326108,26427,175589,304556,282937,401970,326100,187640,155514,210818,236782,491537,460338,258858,379057,226849,45279,390343,66910,198083,142543,240992,171752,67252,496104,323318,469583,226874,51714,293717,241997,158487,260327,189294,74693,196476,160506,140309,436476,481240,218934,107037,214247,490312,497047,467540,497520,89636,165376,194597,170650,228804,455894,78546,323530,323547,217455,352391,434009,277428,315893,122309,34876,181059,205535,11792,251951,56049,277416,289374,508621,161315,150396,482968,356800,375694,447041,467476,211571,428447,423627,500027,6337,276020,119941,293447,57935,374738,462986,430425,33126,460566,480276,329843,456745,184606,406609,434203,237856,236123,108461,236893,50506,235564,62694,10902,256567,163902,199678,7709,145025,336038,151110,478827,251460,121460,462519,160645,490774,312800,121285,57913,112341,363610,79790,321587,185025,375022,231692,512051,361491,410861,111069,323038,433970,138945,422161,62826,488420
