Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
BIOCARTA	h_tcraPathway:Lck and Fyn tyrosine kinases in initiation of TCR Activation	5	12.195121951219512	3.9683481339517364E-8	HLA-DRA, CD3G, CD3E, CD3D, HLA-DRB1	8	11	1623	92.2159090909091	1.0317700043227518E-6	1.0317705148274514E-6	1.0317705148274514E-6
BIOCARTA	h_ctla4Pathway:The Co-Stimulatory Signal During T-cell Activation	5	12.195121951219512	4.605754313855548E-7	HLA-DRA, CD3G, CD3E, CD3D, HLA-DRB1	8	19	1623	53.38815789473684	1.1974892273225457E-5	5.987480608012212E-6	5.987480608012212E-6
BIOCARTA	h_cskPathway:Activation of Csk by cAMP-dependent Protein Kinase Inhibits Signaling through the T Cell Receptor	5	12.195121951219512	8.653352649830255E-7	HLA-DRA, CD3G, CD3E, CD3D, HLA-DRB1	8	22	1623	46.10795454545455	2.2498473529974916E-5	7.4995722965195535E-6	7.4995722965195535E-6
BIOCARTA	h_tcrmolecule:T Cell Receptor and CD3 Complex	3	7.317073170731707	9.533294979825239E-5	CD3G, CD3E, CD3D	8	4	1623	152.15625	0.0024757052255371947	6.196641736886405E-4	6.196641736886405E-4
BIOCARTA	h_tcapoptosisPathway:HIV Induced T Cell Apoptosis	3	7.317073170731707	7.062126378525099E-4	CD3G, CD3E, CD3D	8	10	1623	60.862500000000004	0.01820035133891984	0.0036723057168330515	0.0036723057168330515
BIOCARTA	h_tcytotoxicPathway:T Cytotoxic Cell Surface Molecules	3	7.317073170731707	0.0010315157079719727	CD3G, CD3E, CD3D	8	12	1623	50.71875	0.02647643719624282	0.003831344058181613	0.003831344058181613
BIOCARTA	h_thelperPathway:T Helper Cell Surface Molecules	3	7.317073170731707	0.0010315157079719727	CD3G, CD3E, CD3D	8	12	1623	50.71875	0.02647643719624282	0.003831344058181613	0.003831344058181613
BIOCARTA	h_ctlPathway:CTL mediated immune response against target cells 	3	7.317073170731707	0.0014163856409764497	CD3G, CD3E, CD3D	8	14	1623	43.47321428571429	0.03618135652500987	0.004603253333173462	0.004603253333173462
BIOCARTA	h_il17Pathway:IL 17 Signaling Pathway	3	7.317073170731707	0.001630922246041842	CD3G, CD3E, CD3D	8	15	1623	40.574999999999996	0.04155068254832606	0.004711553155231988	0.004711553155231988
BIOCARTA	h_no2il12Pathway:NO2-dependent IL 12 Pathway in NK cells	3	7.317073170731707	0.0021037299622730867	CD3G, CD3E, CD3D	8	17	1623	35.8014705882353	0.05328255010060112	0.005469697901910026	0.005469697901910026
BIOCARTA	h_tob1Pathway:Role of Tob in T-cell activation	3	7.317073170731707	0.002634229438617901	CD3G, CD3E, CD3D	8	19	1623	32.03289473684211	0.06628155157526516	0.006226360491278676	0.006226360491278676
BIOCARTA	h_il12Pathway:IL12 and Stat4 Dependent Signaling Pathway in Th1 Development	3	7.317073170731707	0.003221680491358874	CD3G, CD3E, CD3D	8	21	1623	28.982142857142854	0.08047579684871364	0.00698030773127756	0.00698030773127756
BIOCARTA	h_stathminPathway:Stathmin and breast cancer resistance to antimicrotubule agents	3	7.317073170731707	0.00420803587533956	CD3G, CD3E, CD3D	8	24	1623	25.359375	0.10384310826187204	0.00841607175067912	0.00841607175067912
BIOCARTA	h_tcrPathway:T Cell Receptor Signaling Pathway	3	7.317073170731707	0.013837844948030751	CD3G, CD3E, CD3D	8	44	1623	13.832386363636363	0.3039240434056938	0.025698854903485682	0.025698854903485682
BIOCARTA	h_eosinophilsPathway:The Role of Eosinophils in the Chemokine Network of Allergy	2	4.878048780487805	0.034060029653378364	HLA-DRA, HLA-DRB1	8	8	1623	50.71875	0.5938339931852807	0.0590373847325225	0.0590373847325225
BIOCARTA	h_bbcellPathway:Bystander B Cell Activation	2	4.878048780487805	0.03824676636701838	HLA-DRA, HLA-DRB1	8	9	1623	45.083333333333336	0.6372102280204617	0.06215099534640487	0.06215099534640487
BIOCARTA	h_il5Pathway:IL 5 Signaling Pathway	2	4.878048780487805	0.042417939003555165	HLA-DRA, HLA-DRB1	8	10	1623	40.575	0.6759768494530789	0.06373228900170162	0.06373228900170162
BIOCARTA	h_mhcPathway:Antigen Processing and Presentation	2	4.878048780487805	0.0465735958089358	HLA-DRA, HLA-DRB1	8	11	1623	36.88636363636363	0.7106213056352508	0.06373228900170162	0.06373228900170162
BIOCARTA	h_blymphocytePathway:B Lymphocyte Cell Surface Molecules	2	4.878048780487805	0.0465735958089358	HLA-DRA, HLA-DRB1	8	11	1623	36.88636363636363	0.7106213056352508	0.06373228900170162	0.06373228900170162
BIOCARTA	h_asbcellPathway:Antigen Dependent B Cell Activation	2	4.878048780487805	0.05483855431038913	HLA-DRA, HLA-DRB1	8	13	1623	31.211538461538463	0.7692424360058099	0.07129012060350587	0.07129012060350587
BIOCARTA	h_th1th2Pathway:Th1/Th2 Differentiation	2	4.878048780487805	0.08328419611475786	HLA-DRA, HLA-DRB1	8	20	1623	20.2875	0.8957436103822222	0.10311376661827164	0.10311376661827164
