Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002250~adaptive immune response	17	41.46341463414634	2.6104708497772415E-16	ZNF683, TRBV28, TRAV19, TRBV19, TRAV12-2, TRAC, CD3G, TRBV7-6, CD3E, CD3D, TRBV7-9, SIT1, HLA-DRA, HLA-DQA1, HLA-DRB1, TRGC2, HLA-DPA1	40	473	19416	17.445665961945032	6.616929226765933E-14	7.779203132336179E-14	7.518156047358455E-14
GOTERM_BP_DIRECT	GO:0050852~T cell receptor signaling pathway	7	17.073170731707318	1.4259002068401664E-7	ZNF683, TRAC, CD3G, CD3E, CD3D, HLA-DRB1, TRGC2	40	121	19416	28.08099173553719	4.249092642705232E-5	2.124591308191848E-5	2.0532962978498397E-5
GOTERM_BP_DIRECT	GO:0046631~alpha-beta T cell activation	4	9.75609756097561	6.241526556075553E-7	TRAC, CD3G, CD3E, CD3D	40	9	19416	215.73333333333335	1.8598025293037335E-4	6.199916379035049E-5	5.991865493832531E-5
GOTERM_BP_DIRECT	GO:0002503~peptide antigen assembly with MHC class II protein complex	4	9.75609756097561	4.120694483909765E-6	HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1	40	16	19416	121.35000000000001	0.0012272158402210076	3.069917390512775E-4	2.966900028415031E-4
GOTERM_BP_DIRECT	GO:0002504~antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	4	9.75609756097561	8.34202100208136E-6	HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1	40	20	19416	97.08	0.0024828452558347536	4.97184451724049E-4	4.8050040971988635E-4
GOTERM_BP_DIRECT	GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II	4	9.75609756097561	3.239327421633205E-5	HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1	40	31	19416	62.63225806451613	0.009606908033088724	0.0016088659527444917	0.0015548771623839384
GOTERM_BP_DIRECT	GO:0050870~positive regulation of T cell activation	4	9.75609756097561	5.552969450189063E-5	HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1	40	37	19416	52.47567567567568	0.01641213733956559	0.002068481120195426	0.0019990690020680628
GOTERM_BP_DIRECT	GO:0050778~positive regulation of immune response	4	9.75609756097561	5.552969450189063E-5	HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1	40	37	19416	52.47567567567568	0.01641213733956559	0.002068481120195426	0.0019990690020680628
GOTERM_BP_DIRECT	GO:0007166~cell surface receptor signaling pathway	7	17.073170731707318	6.593623488645471E-5	TRBV28, TRBV19, TRBV7-9, CD3G, TRBV7-6, CD3E, CD3D	40	351	19416	9.68034188034188	0.019457849820274875	0.002183221999573723	0.002109959516366551
GOTERM_BP_DIRECT	GO:0006955~immune response	8	19.51219512195122	7.728484320527546E-5	TRAV19, TRBV7-9, GZMA, HLA-DRA, HLA-DRB1, TRGC2, HLA-DQA1, HLA-DPA1	40	529	19416	7.340642722117202	0.022768566577853977	0.0023030883275172087	0.002225803484311933
GOTERM_BP_DIRECT	GO:0019882~antigen processing and presentation	4	9.75609756097561	1.142849340939698E-4	HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DPA1	40	47	19416	41.310638297872345	0.033485382804812835	0.0030960827600002724	0.0029921873653693913
GOTERM_BP_DIRECT	GO:0045059~positive thymic T cell selection	3	7.317073170731707	3.0239574864219057E-4	CD3G, CD3E, CD3D	40	13	19416	112.01538461538462	0.08618538915778096	0.007509494424614399	0.007257497967412574
GOTERM_BP_DIRECT	GO:0002491~antigen processing and presentation of endogenous peptide antigen via MHC class II	2	4.878048780487805	0.004013373880638193	HLA-DRA, HLA-DRB1	40	2	19416	485.40000000000003	0.6983210255347241	0.09199887818693704	0.08891166750952305
GOTERM_BP_DIRECT	GO:0002469~myeloid dendritic cell antigen processing and presentation	2	4.878048780487805	0.006014171162292887	HLA-DRA, HLA-DRB1	40	3	19416	323.6	0.8343095649387908	0.12801592902594858	0.12372009248145369
GOTERM_BP_DIRECT	GO:0045622~regulation of T-helper cell differentiation	2	4.878048780487805	0.008011051980537712	HLA-DRA, HLA-DRB1	40	4	19416	242.70000000000002	0.9090010430741704	0.14042902883530814	0.13571664531734476
GOTERM_BP_DIRECT	GO:1905686~positive regulation of plasma membrane repair	2	4.878048780487805	0.008011051980537712	ANXA2, S100A10	40	4	19416	242.70000000000002	0.9090010430741704	0.14042902883530814	0.13571664531734476
GOTERM_BP_DIRECT	GO:2000516~positive regulation of CD4-positive, alpha-beta T cell activation	2	4.878048780487805	0.008011051980537712	HLA-DRA, HLA-DRB1	40	4	19416	242.70000000000002	0.9090010430741704	0.14042902883530814	0.13571664531734476
GOTERM_BP_DIRECT	GO:0032831~positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation	2	4.878048780487805	0.010004023800492555	HLA-DRA, HLA-DRB1	40	5	19416	194.16	0.9500239451566436	0.156905215397199	0.15163993971272924
GOTERM_BP_DIRECT	GO:0001765~membrane raft assembly	2	4.878048780487805	0.010004023800492555	ANXA2, S100A10	40	5	19416	194.16	0.9500239451566436	0.156905215397199	0.15163993971272924
GOTERM_BP_DIRECT	GO:0031640~killing of cells of another organism	3	7.317073170731707	0.014990745293269233	GZMA, NKG7, GZMH	40	93	19416	15.658064516129032	0.9889028191391918	0.2233621048697116	0.21586673222307695
GOTERM_BP_DIRECT	GO:0010756~positive regulation of plasminogen activation	2	4.878048780487805	0.015959559714595825	ANXA2, S100A10	40	8	19416	121.35000000000001	0.991723283168554	0.22647375214045504	0.2188739618001713
GOTERM_BP_DIRECT	GO:0043382~positive regulation of memory T cell differentiation	2	4.878048780487805	0.017936969915046654	HLA-DRA, HLA-DRB1	40	9	19416	107.86666666666667	0.9954550411483796	0.24296441066745011	0.23481124252424712
GOTERM_BP_DIRECT	GO:0140507~granzyme-mediated programmed cell death signaling pathway	2	4.878048780487805	0.019910508234441758	GZMA, NKG7	40	10	19416	97.08	0.9975043229425401	0.2579709327766802	0.24931419006605332
GOTERM_BP_DIRECT	GO:0046629~gamma-delta T cell activation	2	4.878048780487805	0.02188018205638687	CD3G, CD3E	40	11	19416	88.25454545454545	0.9986296440543831	0.2716789272001369	0.26256218467664244
GOTERM_BP_DIRECT	GO:0006900~vesicle budding from membrane	2	4.878048780487805	0.029720379524174827	ANXA2, S100A10	40	15	19416	64.72	0.9998754685405093	0.34064127300784997	0.32921035780624425
GOTERM_BP_DIRECT	GO:0046598~positive regulation of viral entry into host cell	2	4.878048780487805	0.029720379524174827	LGALS1, HLA-DRB1	40	15	19416	64.72	0.9998754685405093	0.34064127300784997	0.32921035780624425
GOTERM_BP_DIRECT	GO:0045921~positive regulation of exocytosis	2	4.878048780487805	0.0432936348563805	ANXA2, S100A10	40	22	19416	44.127272727272725	0.9999981291382444	0.4778334513778292	0.46179877180139195
GOTERM_BP_DIRECT	GO:0051894~positive regulation of focal adhesion assembly	2	4.878048780487805	0.05287536251986625	KDR, S100A10	40	27	19416	35.955555555555556	0.9999999068193061	0.5627449296757193	0.5438608716329101
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	3	7.317073170731707	0.0620884588341255	LGALS1, ANXA2, S100A11	40	202	19416	7.208910891089109	0.9999999949389546	0.6380124390541172	0.6166026256630395
GOTERM_BP_DIRECT	GO:0070269~pyroptotic inflammatory response	2	4.878048780487805	0.06425005772519268	IFI27, GZMA	40	33	19416	29.41818181818182	0.9999999974553792	0.6382172400702474	0.6168005541618498
GOTERM_BP_DIRECT	GO:0042267~natural killer cell mediated cytotoxicity	2	4.878048780487805	0.07175912429643404	NKG7, HCST	40	37	19416	26.23783783783784	0.9999999997693861	0.6779706991462819	0.6552200045440576
GOTERM_BP_DIRECT	GO:0043123~positive regulation of canonical NF-kappaB signal transduction	3	7.317073170731707	0.07548490396491504	LGALS1, S100A4, HLA-DRB1	40	226	19416	6.443362831858407	0.9999999999304376	0.6779706991462819	0.6552200045440576
GOTERM_BP_DIRECT	GO:0050767~regulation of neurogenesis	2	4.878048780487805	0.07549160780524032	ANXA2, S100A10	40	39	19416	24.892307692307693	0.9999999999305879	0.6779706991462819	0.6552200045440576
GOTERM_BP_DIRECT	GO:0001916~positive regulation of T cell mediated cytotoxicity	2	4.878048780487805	0.07735236164756236	HLA-DRA, HLA-DRB1	40	40	19416	24.27	0.9999999999619206	0.6779706991462819	0.6552200045440576
GOTERM_BP_DIRECT	GO:0031295~T cell costimulation	2	4.878048780487805	0.08291275531176505	LGALS1, CD3E	40	43	19416	22.57674418604651	0.999999999993714	0.692771797275808	0.6695244215282976
GOTERM_BP_DIRECT	GO:0042981~regulation of apoptotic process	3	7.317073170731707	0.0836905526910372	LGALS1, CD3E, ACTB	40	240	19416	6.0675	0.9999999999951183	0.692771797275808	0.6695244215282976
GOTERM_BP_DIRECT	GO:0032689~negative regulation of type II interferon production	2	4.878048780487805	0.08844049309950362	ZNF683, HLA-DRB1	40	46	19416	21.104347826086958	0.9999999999989626	0.7123045119905967	0.6884016760177579
